driverskilled,law
107,0
97,0
102,0
87,0
119,0
106,0
110,0
106,0
107,0
125,0
110,0
102,0
103,0
111,0
120,0
129,0
122,0
108,0
104,0
117,0
130,0
114,0
127,0
120,0
117,0
109,0
131,0
113,0
100,0
103,0
103,0
121,0
129,0
122,0
92,0
117,0
95,0
96,0
108,0
108,0
106,0
114,0
102,0
127,0
125,0
101,0
97,0
112,0
112,0
113,0
108,0
128,0
112,0
79,0
82,0
127,0
108,0
110,0
123,0
103,0
97,0
111,0
116,0
115,0
100,0
106,0
125,0
117,0
122,0
114,0
94,0
128,0
119,0
111,0
110,0
114,0
118,0
115,0
115,0
95,0
92,0
100,0
95,0
114,0
102,0
104,0
117,0
111,0
106,0
98,0
84,0
94,0
105,0
123,0
109,0
130,0
99,0
115,0
104,0
131,0
108,0
103,0
115,0
122,0
122,0
125,0
120,0
95,1
100,1
89,1
82,1
89,1
60,1
84,1
92,1
86,1
81,1
84,1
87,1
90,1
79,1
96,1
